base,407256.182,7400064.902,56,South
test00002,407250.329,7400077.209,56,South
test00003,407249.98,7400077.71,56,South
test00004,407249.724,7400078.25,56,South
test00005,407249.477,7400078.803,56,South
test00006,407249.219,7400079.594,56,South
test00007,407249.047,7400080.229,56,South
test00008,407248.85,7400080.819,56,South
test00009,407248.704,7400081.44,56,South
test00010,407248.449,7400082.04,56,South
test00011,407248.287,7400082.765,56,South
test00012,407248.003,7400083.347,56,South
test00013,407247.91,7400083.935,56,South
test00014,407247.798,7400084.545,56,South
test00015,407247.84,7400085.081,56,South
test00016,407247.923,7400085.59,56,South
test00017,407248.003,7400086.121,56,South
test00018,407248.219,7400086.659,56,South
test00019,407248.454,7400087.213,56,South
test00020,407339.758,7400136.621,56,South
test00021,407340.071,7400136.702,56,South
test00022,407340.39,7400136.772,56,South
test00023,407340.659,7400136.767,56,South
test00024,407341.071,7400136.846,56,South
test00025,407341.439,7400136.905,56,South
test00026,407341.813,7400136.923,56,South
test00027,407342.218,7400136.996,56,South
test00028,407342.5,7400137.017,56,South
test00029,407342.781,7400137.023,56,South
test00030,407343.166,7400137.083,56,South
test00031,407343.539,7400137.152,56,South
test00032,407344.131,7400137.275,56,South
test00033,407344.507,7400137.317,56,South
test00034,407344.799,7400137.38,56,South
test00035,407345.271,7400137.47,56,South
test00036,407345.684,7400137.509,56,South
test00037,407345.998,7400137.537,56,South
test00038,407346.294,7400137.587,56,South
test00039,407346.711,7400137.659,56,South
test00040,407347.02,7400137.663,56,South
test00041,407347.356,7400137.661,56,South
test00042,407347.667,7400137.68,56,South
test00043,407348.076,7400137.642,56,South
test00044,407348.404,7400137.7,56,South
test00045,407348.7,7400137.816,56,South
test00046,407349.071,7400137.795,56,South
test00047,407349.397,7400137.824,56,South
test00048,407349.752,7400137.93,56,South
test00049,407350.114,7400137.983,56,South
test00050,407350.468,7400138.09,56,South
test00051,407350.817,7400138.159,56,South
test00052,407351.092,7400138.14,56,South
test00053,407351.346,7400138.181,56,South
test00054,407351.599,7400138.202,56,South
