base,407255.517,7400063.494,3.979,56
test00002,407249.664,7400075.801,1.672,56
test00003,407249.315,7400076.302,1.717,56
test00004,407249.059,7400076.84,1.689,56
test00005,407248.812,7400077.395,1.714,56
test00006,407248.554,7400078.186,1.79,56
test00007,407248.382,7400078.821,1.781,56
test00008,407248.185,7400079.411,1.798,56
test00009,407248.039,7400080.032,1.789,56
test00010,407247.784,7400080.632,1.784,56
test00011,407247.622,7400081.357,1.786,56
test00012,407247.338,7400081.939,1.755,56
test00013,407247.24,7400082.527,1.727,56
test00014,407247.133,7400083.137,1.694,56
test00015,407247.175,7400083.673,1.662,56
test00016,407247.258,7400084.182,1.661,56
test00017,407247.338,7400084.713,1.715,56
test00018,407247.554,7400085.251,1.703,56
test00019,407247.789,7400085.805,1.686,56
test00020,407339.093,7400135.213,1.41,56
test00021,407339.406,7400135.294,1.474,56
test00022,407339.72,7400135.364,1.488,56
test00023,407339.994,7400135.359,1.439,56
test00024,407340.406,7400135.438,1.426,56
test00025,407340.774,7400135.497,1.481,56
test00026,407341.148,7400135.515,1.447,56
test00027,407341.553,7400135.588,1.403,56
test00028,407341.835,7400135.609,1.431,56
test00029,407342.116,7400135.615,1.464,56
test00030,407342.501,7400135.675,1.487,56
test00031,407342.874,7400135.744,1.485,56
test00032,407343.466,7400135.867,1.506,56
test00033,407343.842,7400135.909,1.571,56
test00034,407344.134,7400135.972,1.657,56
test00035,407344.606,7400136.06,1.766,56
test00036,407345.019,7400136.101,1.851,56
test00037,407345.333,7400136.129,1.816,56
test00038,407345.629,7400136.179,1.864,56
test00039,407346.046,7400136.251,1.912,56
test00040,407346.35,7400136.255,1.85,56
test00041,407346.691,7400136.253,1.814,56
test00042,407347.002,7400136.272,1.795,56
test00043,407347.411,7400136.234,1.757,56
test00044,407347.739,7400136.292,1.848,56
test00045,407348.03,7400136.408,1.813,56
test00046,407348.406,7400136.387,1.828,56
test00047,407348.732,7400136.416,1.806,56
test00048,407349.087,7400136.522,1.819,56
test00049,407349.449,7400136.575,1.772,56
test00050,407349.803,7400136.682,1.739,56
test00051,407350.152,7400136.751,1.75,56
test00052,407350.427,7400136.732,1.709,56
test00053,407350.681,7400136.773,1.593,56
test00054,407350.934,7400136.794,1.548,56
test00055,407351.183,7400136.757,1.479,56
test00056,407351.509,7400136.772,1.392,56
test00057,407351.848,7400136.738,1.358,56
test00058,407352.141,7400136.692,1.408,56
test00059,407352.584,7400136.815,1.413,56
test00060,407352.849,7400136.761,1.313,56
test00061,407353.105,7400136.744,1.325,56
test00062,407353.372,7400136.794,1.228,56
test00063,407353.687,7400136.75,1.176,56
test00064,407354.055,7400136.755,1.051,56
test00065,407354.455,7400136.794,0.929,56
test00066,407354.713,7400136.755,0.85,56
test00067,407355.006,7400136.857,0.74,56
test00068,407355.265,7400136.867,0.576,56
test00069,407355.519,7400136.858,0.594,56
test00070,407355.796,7400136.927,0.491,56
test00071,407356.148,7400136.946,0.457,56
test00072,407356.44,7400136.962,0.432,56
test00073,407356.775,7400137.01,0.428,56
test00074,407357.156,7400136.945,0.357,56
test00075,407357.52,7400136.946,0.31,56
test00076,407357.883,7400136.936,0.288,56
test00077,407358.23,7400136.876,0.211,56
test00078,407358.592,7400136.892,0.143,56
test00079,407358.938,7400136.893,0.165,56
test00080,407359.306,7400136.852,0.137,56
test00081,407359.644,7400136.894,0.093,56
test00082,407359.985,7400136.909,0.088,56
test00083,407360.313,7400136.882,0.093,56
test00084,407360.61,7400136.922,0.055,56
test00085,407360.92,7400136.928,-0.054,56
test00086,407361.246,7400136.951,-0.081,56
test00087,407361.602,7400136.966,-0.116,56
test00088,407361.897,7400136.937,-0.208,56
test00089,407362.224,7400137.017,-0.281,56
test00090,407362.602,7400137.01,-0.291,56
test00091,407362.879,7400136.911,-0.283,56
test00092,407363.093,7400136.682,-0.279,56
test00093,407363.17,7400136.313,-0.3,56
test00094,407363.255,7400135.962,-0.233,56
test00095,407362.875,7400135.862,-0.168,56
test00096,407362.596,7400135.7,-0.169,56
test00097,407362.313,7400135.532,-0.076,56
test00098,407361.973,7400135.591,-0.087,56
test00099,407361.561,7400135.573,-0.007,56
test00100,407361.135,7400135.545,0.077,56
test00101,407360.661,7400135.51,0.082,56
test00102,407360.363,7400135.378,0.164,56
test00103,407360.017,7400135.207,0.221,56
test00104,407359.636,7400135.045,0.175,56
test00105,407359.251,7400134.926,0.248,56
test00106,407358.875,7400134.788,0.365,56
test00107,407358.409,7400134.727,0.341,56
test00108,407357.983,7400134.658,0.389,56
test00109,407357.638,7400134.522,0.482,56
test00110,407357.218,7400134.496,0.484,56
test00111,407356.839,7400134.446,0.525,56
test00112,407356.58,7400134.309,0.558,56
test00113,407356.243,7400134.231,0.571,56
test00114,407355.862,7400134.139,0.709,56
test00115,407355.556,7400133.974,0.762,56
test00116,407355.254,7400133.864,0.788,56
test00117,407354.924,7400133.797,0.882,56
test00118,407354.665,7400133.643,0.98,56
test00119,407354.29,7400133.503,1.068,56
test00120,407353.977,7400133.523,1.236,56
test00121,407353.647,7400133.494,1.312,56
test00122,407353.402,7400133.401,1.474,56
test00123,407353.096,7400133.307,1.469,56
test00124,407352.657,7400133.165,1.436,56
test00125,407352.245,7400133.032,1.501,56
test00126,407351.916,7400132.975,1.493,56
test00127,407351.503,7400132.803,1.55,56
test00128,407351.084,7400132.684,1.626,56
test00129,407350.738,7400132.582,1.758,56
test00130,407350.44,7400132.461,1.767,56
test00131,407350.1,7400132.335,1.807,56
test00132,407349.785,7400132.259,1.9,56
test00133,407349.472,7400132.164,1.982,56
test00134,407349.198,7400132.074,1.961,56
test00135,407348.916,7400132.039,2.054,56
test00136,407348.569,7400131.948,1.988,56
test00137,407348.191,7400131.826,2.003,56
test00138,407347.821,7400131.769,1.973,56
test00139,407347.53,7400131.693,1.823,56
test00140,407347.133,7400131.61,1.67,56
test00141,407346.716,7400131.444,1.66,56
test00142,407346.467,7400131.272,1.649,56
test00143,407346.174,7400131.159,1.768,56
test00144,407345.861,7400131.135,1.653,56
test00145,407345.521,7400131.053,1.597,56
test00146,407345.269,7400130.872,1.601,56
test00147,407344.806,7400130.74,1.518,56
test00148,407344.365,7400130.438,1.481,56
test00149,407344.045,7400130.233,1.526,56
test00150,407343.713,7400130.122,1.523,56
test00151,407343.339,7400129.977,1.519,56
test00152,407343.13,7400129.828,1.49,56
test00153,407342.778,7400129.684,1.563,56
test00154,407342.481,7400129.522,1.619,56
test00155,407342.237,7400129.28,1.649,56
test00156,407342.269,7400129.023,1.654,56
test00157,407342.535,7400128.942,1.654,56
test00158,407342.706,7400128.705,1.605,56
test00159,407342.963,7400128.638,1.6,56
test00160,407343.331,7400128.503,1.538,56
test00161,407343.575,7400128.447,1.525,56
test00162,407343.846,7400128.481,1.617,56
test00163,407344.085,7400128.371,1.556,56
test00164,407344.313,7400128.258,1.572,56
test00165,407344.597,7400128.263,1.522,56
test00166,407344.883,7400128.288,1.572,56
test00167,407345.244,7400128.248,1.565,56
test00168,407345.625,7400128.331,1.583,56
test00169,407345.992,7400128.467,1.681,56
test00170,407346.324,7400128.475,1.65,56
test00171,407346.608,7400128.54,1.685,56
test00172,407346.847,7400128.622,1.747,56
test00173,407347.194,7400128.543,1.781,56
test00174,407347.451,7400128.596,1.805,56
test00175,407347.699,7400128.706,1.846,56
test00176,407347.984,7400128.646,1.909,56
test00177,407348.28,7400128.694,1.931,56
test00178,407348.614,7400128.666,1.933,56
test00179,407348.854,7400128.511,1.974,56
test00180,407349.107,7400128.527,1.981,56
test00181,407349.355,7400128.464,1.947,56
test00182,407349.642,7400128.507,1.915,56
test00183,407349.905,7400128.458,1.871,56
test00184,407350.148,7400128.519,1.881,56
test00185,407350.392,7400128.458,1.833,56
test00186,407350.718,7400128.475,1.675,56
test00187,407351.001,7400128.523,1.576,56
test00188,407351.285,7400128.547,1.467,56
test00189,407351.604,7400128.592,1.341,56
test00190,407351.976,7400128.588,1.277,56
test00191,407352.252,7400128.548,1.303,56
test00192,407352.535,7400128.591,1.323,56
test00193,407352.796,7400128.632,1.388,56
test00194,407353.119,7400128.533,1.405,56
test00195,407353.374,7400128.518,1.377,56
test00196,407353.651,7400128.639,1.351,56
test00197,407353.904,7400128.633,1.235,56
test00198,407354.268,7400128.63,1.092,56
test00199,407354.577,7400128.561,0.95,56
test00200,407355.076,7400128.671,0.804,56
test00201,407355.433,7400128.621,0.704,56
test00202,407355.688,7400128.598,0.702,56
test00203,407355.949,7400128.698,0.613,56
test00204,407356.32,7400128.707,0.56,56
test00205,407356.686,7400128.7,0.576,56
test00206,407356.989,7400128.763,0.575,56
test00207,407357.318,7400128.72,0.565,56
test00208,407357.675,7400128.683,0.417,56
test00209,407358.117,7400128.787,0.334,56
test00210,407358.543,7400128.831,0.318,56
test00211,407358.969,7400128.823,0.21,56
test00212,407359.398,7400128.85,0.131,56
test00213,407359.788,7400128.811,0.142,56
test00214,407360.157,7400128.772,0.119,56
test00215,407360.584,7400128.799,0.036,56
test00216,407360.985,7400128.752,0.009,56
test00217,407361.309,7400128.664,-0.033,56
test00218,407361.647,7400128.642,-0.13,56
test00219,407361.988,7400128.501,-0.204,56
test00220,407362.306,7400128.393,-0.197,56
test00221,407362.56,7400128.238,-0.232,56
test00222,407362.734,7400127.859,-0.26,56
test00223,407362.776,7400127.525,-0.214,56
test00224,407362.83,7400127.09,-0.195,56
test00225,407362.71,7400126.861,-0.189,56
test00226,407362.39,7400126.599,-0.168,56
test00227,407362.064,7400126.365,-0.151,56
test00228,407361.814,7400126.26,-0.105,56
test00229,407361.566,7400126.064,-0.034,56
test00230,407361.366,7400125.903,-0.019,56
test00231,407361.107,7400125.936,0.014,56
test00232,407360.761,7400125.79,0.039,56
test00233,407360.494,7400125.544,0.068,56
test00234,407360.235,7400125.52,0.121,56
